DATE,IPN3311A2RS
2001-11-01,90.9451
2001-12-01,82.4608
2002-01-01,95.3694
2002-02-01,95.9195
2002-03-01,94.9414
2002-04-01,95.2797
2002-05-01,96.2810
2002-06-01,99.4868
2002-07-01,100.0315
2002-08-01,103.4628
2002-09-01,102.7627
2002-10-01,101.5293
2002-11-01,101.1765
2002-12-01,100.4192
2003-01-01,98.3375
2003-02-01,98.5545
2003-03-01,97.5472
2003-04-01,99.5877
2003-05-01,93.1854
2003-06-01,97.2588
2003-07-01,93.3087
2003-08-01,92.7059
2003-09-01,93.7724
2003-10-01,98.3283
2003-11-01,101.7589
2003-12-01,106.0638
2004-01-01,102.5883
2004-02-01,103.2489
2004-03-01,107.1663
2004-04-01,106.6397
2004-05-01,108.3915
2004-06-01,110.1923
2004-07-01,113.2935
2004-08-01,114.9007
2004-09-01,112.3334
2004-10-01,114.5930
2004-11-01,114.7400
2004-12-01,117.0502
2005-01-01,114.0144
2005-02-01,110.7026
2005-03-01,107.8911
2005-04-01,106.2127
2005-05-01,104.4288
2005-06-01,98.9303
2005-07-01,96.6455
2005-08-01,101.3892
2005-09-01,106.5191
2005-10-01,107.0529
2005-11-01,110.1496
2005-12-01,109.1494
2006-01-01,109.0369
2006-02-01,109.9314
2006-03-01,113.6551
2006-04-01,113.1782
2006-05-01,115.9842
2006-06-01,114.8672
2006-07-01,112.3081
2006-08-01,112.8187
2006-09-01,112.6274
2006-10-01,106.7164
2006-11-01,103.6001
2006-12-01,96.5280
2007-01-01,102.8928
2007-02-01,107.9706
2007-03-01,106.9078
2007-04-01,109.1427
2007-05-01,110.6806
2007-06-01,112.6644
2007-07-01,112.0753
2007-08-01,112.4677
2007-09-01,108.7364
2007-10-01,117.5154
2007-11-01,122.5695
2007-12-01,126.9627
2008-01-01,128.4419
2008-02-01,127.3843
2008-03-01,127.4018
2008-04-01,128.9097
2008-05-01,132.1545
2008-06-01,130.2503
2008-07-01,136.0963
2008-08-01,136.6554
2008-09-01,126.5929
2008-10-01,111.4634
2008-11-01,83.7418
2008-12-01,69.6209
2009-01-01,70.4272
2009-02-01,75.2182
2009-03-01,62.6464
2009-04-01,61.1370
2009-05-01,67.5787
2009-06-01,70.5199
2009-07-01,83.5366
2009-08-01,91.1815
2009-09-01,95.7777
2009-10-01,93.2984
2009-11-01,96.4130
2009-12-01,93.2639
2010-01-01,99.6876
2010-02-01,104.3907
2010-03-01,109.6118
2010-04-01,109.8969
2010-05-01,109.0094
2010-06-01,108.1705
2010-07-01,103.7178
2010-08-01,102.2520
2010-09-01,104.0850
2010-10-01,103.4317
2010-11-01,104.3823
2010-12-01,105.7227
2011-01-01,110.7113
2011-02-01,113.6239
2011-03-01,111.0849
2011-04-01,110.9425
2011-05-01,109.0686
2011-06-01,111.1187
2011-07-01,112.7148
2011-08-01,112.2365
2011-09-01,112.5050
2011-10-01,110.9855
2011-11-01,112.0416
2011-12-01,116.9309
2012-01-01,112.3888
2012-02-01,113.4837
2012-03-01,111.3931
2012-04-01,115.1453
2012-05-01,111.5654
2012-06-01,106.6231
2012-07-01,105.5788
2012-08-01,108.6815
2012-09-01,102.4777
2012-10-01,100.4602
2012-11-01,104.2383
2012-12-01,109.1921
2013-01-01,107.0546
2013-02-01,107.3082
2013-03-01,106.5360
2013-04-01,106.5902
2013-05-01,108.2671
2013-06-01,108.4036
2013-07-01,111.3849
2013-08-01,110.3688
2013-09-01,112.8117
2013-10-01,112.2484
2013-11-01,111.1540
2013-12-01,107.9484
2014-01-01,106.6883
2014-02-01,106.9229
2014-03-01,107.3768
2014-04-01,108.3119
2014-05-01,107.8980
2014-06-01,110.7806
2014-07-01,110.8384
2014-08-01,109.7402
2014-09-01,110.4631
2014-10-01,111.9243
2014-11-01,112.1785
2014-12-01,111.7288
2015-01-01,108.9277
2015-02-01,101.3120
2015-03-01,94.6662
2015-04-01,98.4872
2015-05-01,99.5094
2015-06-01,103.8577
2015-07-01,103.9283
2015-08-01,100.8746
2015-09-01,99.0916
2015-10-01,98.7346
2015-11-01,90.6981
2015-12-01,91.2006
2016-01-01,94.0119
2016-02-01,95.5308
2016-03-01,96.2988
2016-04-01,97.4463
2016-05-01,98.1500
2016-06-01,100.1616
2016-07-01,95.6045
2016-08-01,95.0315
2016-09-01,94.8899
2016-10-01,93.3974
2016-11-01,95.1882
2016-12-01,96.1386
2017-01-01,100.1119
2017-02-01,99.7155
2017-03-01,98.4306
2017-04-01,99.8955
2017-05-01,98.9394
2017-06-01,100.2977
2017-07-01,99.4850
2017-08-01,100.3113
2017-09-01,100.1819
2017-10-01,100.5374
2017-11-01,101.1183
2017-12-01,101.5281
2018-01-01,102.0553
2018-02-01,103.5170
2018-03-01,105.4541
2018-04-01,104.1167
2018-05-01,106.8765
2018-06-01,105.2210
2018-07-01,107.1044
2018-08-01,106.8626
2018-09-01,108.6424
2018-10-01,109.5871
2018-11-01,107.1777
2018-12-01,106.2180
2019-01-01,102.4156
2019-02-01,102.2590
2019-03-01,102.2259
2019-04-01,102.5245
2019-05-01,99.1495
2019-06-01,99.3827
2019-07-01,99.4481
2019-08-01,97.9971
2019-09-01,96.8620
2019-10-01,96.9031
2019-11-01,97.5747
2019-12-01,97.6594
2020-01-01,100.3253
2020-02-01,96.7045
2020-03-01,90.0821
2020-04-01,66.2805
2020-05-01,65.4441
2020-06-01,68.1093
2020-07-01,69.9809
2020-08-01,78.0971
2020-09-01,83.0895
2020-10-01,83.8464
2020-11-01,87.2717
2020-12-01,88.6957
2021-01-01,91.8293
2021-02-01,89.9684
2021-03-01,92.7418
2021-04-01,97.8830
2021-05-01,97.7847
