DATE,IPUTIL
1973-12-01,46.6479
1974-01-01,46.8094
1974-02-01,46.9939
1974-03-01,47.9861
1974-04-01,48.5392
1974-05-01,49.1401
1974-06-01,48.6539
1974-07-01,49.7140
1974-08-01,49.2842
1974-09-01,48.6297
1974-10-01,49.8695
1974-11-01,48.8347
1974-12-01,48.8662
1975-01-01,47.9301
1975-02-01,48.6453
1975-03-01,49.7870
1975-04-01,51.0839
1975-05-01,50.2062
1975-06-01,49.0372
1975-07-01,49.7432
1975-08-01,50.2070
1975-09-01,49.9784
1975-10-01,49.8451
1975-11-01,49.2672
1975-12-01,50.1412
1976-01-01,51.3146
1976-02-01,50.2647
1976-03-01,50.6161
1976-04-01,50.9950
1976-05-01,50.8473
1976-06-01,51.2965
1976-07-01,51.5049
1976-08-01,51.7134
1976-09-01,52.1493
1976-10-01,52.6974
1976-11-01,55.1248
1976-12-01,55.5817
1977-01-01,55.1520
1977-02-01,53.3537
1977-03-01,52.5567
1977-04-01,53.2535
1977-05-01,54.1107
1977-06-01,54.8396
1977-07-01,55.5070
1977-08-01,54.6053
1977-09-01,54.8138
1977-10-01,54.8252
1977-11-01,54.0993
1977-12-01,54.9066
1978-01-01,54.9840
1978-02-01,55.8628
1978-03-01,55.7410
1978-04-01,54.3412
1978-05-01,55.3857
1978-06-01,55.9562
1978-07-01,55.2516
1978-08-01,56.0153
1978-09-01,56.4654
1978-10-01,56.0707
1978-11-01,56.2656
1978-12-01,56.1796
1979-01-01,57.3273
1979-02-01,59.1246
1979-03-01,58.1192
1979-04-01,58.5877
1979-05-01,57.0770
1979-06-01,56.2678
1979-07-01,55.2128
1979-08-01,56.0765
1979-09-01,55.6579
1979-10-01,56.4771
1979-11-01,56.8579
1979-12-01,55.8193
1980-01-01,54.9428
1980-02-01,56.9705
1980-03-01,58.0760
1980-04-01,56.4095
1980-05-01,55.5204
1980-06-01,55.5249
1980-07-01,57.6414
1980-08-01,57.9340
1980-09-01,58.6723
1980-10-01,58.1892
1980-11-01,58.4163
1980-12-01,58.6741
1981-01-01,57.8334
1981-02-01,56.3603
1981-03-01,57.2832
1981-04-01,57.3227
1981-05-01,58.1401
1981-06-01,59.5858
1981-07-01,59.4366
1981-08-01,58.2277
1981-09-01,57.4069
1981-10-01,58.1260
1981-11-01,57.6211
1981-12-01,58.7538
1982-01-01,58.6773
1982-02-01,57.0669
1982-03-01,57.0847
1982-04-01,57.1589
1982-05-01,55.6165
1982-06-01,55.8156
1982-07-01,55.8107
1982-08-01,55.1218
1982-09-01,55.3063
1982-10-01,55.4728
1982-11-01,56.2143
1982-12-01,54.5005
1983-01-01,54.3859
1983-02-01,52.9868
1983-03-01,54.9214
1983-04-01,55.9632
1983-05-01,54.9256
1983-06-01,54.7609
1983-07-01,56.6429
1983-08-01,58.9367
1983-09-01,58.7855
1983-10-01,57.8501
1983-11-01,58.1937
1983-12-01,60.9012
1984-01-01,60.6747
1984-02-01,59.3802
1984-03-01,60.8294
1984-04-01,60.5065
1984-05-01,61.0651
1984-06-01,60.7373
1984-07-01,59.0902
1984-08-01,59.7139
1984-09-01,59.0898
1984-10-01,59.0571
1984-11-01,59.8144
1984-12-01,58.8117
1985-01-01,61.2879
1985-02-01,63.4202
1985-03-01,60.5034
1985-04-01,61.1006
1985-05-01,60.9681
1985-06-01,60.4293
1985-07-01,60.6475
1985-08-01,60.5193
1985-09-01,61.6959
1985-10-01,61.1467
1985-11-01,61.0476
1985-12-01,63.9598
1986-01-01,61.9405
1986-02-01,61.4114
1986-03-01,60.5541
1986-04-01,60.9152
1986-05-01,61.6259
1986-06-01,61.9864
1986-07-01,63.1015
1986-08-01,61.5440
1986-09-01,62.1310
1986-10-01,62.5241
1986-11-01,62.5461
1986-12-01,63.4200
1987-01-01,62.5010
1987-02-01,63.0963
1987-03-01,63.7617
1987-04-01,64.3776
1987-05-01,64.8413
1987-06-01,65.5725
1987-07-01,65.6900
1987-08-01,66.5655
1987-09-01,65.1613
1987-10-01,65.8126
1987-11-01,65.8462
1987-12-01,65.8635
1988-01-01,67.6773
1988-02-01,69.0939
1988-03-01,68.8457
1988-04-01,68.1035
1988-05-01,67.8843
1988-06-01,68.7959
1988-07-01,69.4641
1988-08-01,71.8892
1988-09-01,68.5924
1988-10-01,69.0632
1988-11-01,68.7044
1988-12-01,69.1141
1989-01-01,66.7954
1989-02-01,70.1449
1989-03-01,72.0012
1989-04-01,70.0298
1989-05-01,70.3492
1989-06-01,70.1668
1989-07-01,70.5195
1989-08-01,71.4138
1989-09-01,70.4548
1989-10-01,71.3518
1989-11-01,72.0040
1989-12-01,77.1682
1990-01-01,71.3336
1990-02-01,70.4283
1990-03-01,71.4045
1990-04-01,71.8763
1990-05-01,72.2679
1990-06-01,73.0031
1990-07-01,72.7630
1990-08-01,73.4729
1990-09-01,74.3511
1990-10-01,73.2348
1990-11-01,71.7238
1990-12-01,72.2249
1991-01-01,73.4997
1991-02-01,71.6396
1991-03-01,72.6253
1991-04-01,72.5587
1991-05-01,75.7275
1991-06-01,76.0065
1991-07-01,75.4157
1991-08-01,74.8723
1991-09-01,74.7380
1991-10-01,74.6448
1991-11-01,75.3495
1991-12-01,73.3410
1992-01-01,72.9764
1992-02-01,73.4333
1992-03-01,73.1599
1992-04-01,74.8434
1992-05-01,73.7820
1992-06-01,72.6948
1992-07-01,73.1373
1992-08-01,72.9112
1992-09-01,74.0089
1992-10-01,75.2583
1992-11-01,75.9166
1992-12-01,77.1935
1993-01-01,74.6012
1993-02-01,76.6582
1993-03-01,77.4498
1993-04-01,76.5773
1993-05-01,74.5118
1993-06-01,76.4242
1993-07-01,77.5371
1993-08-01,78.0398
1993-09-01,77.1816
1993-10-01,76.9436
1993-11-01,77.4616
1993-12-01,77.7885
1994-01-01,80.0825
1994-02-01,79.2909
1994-03-01,77.9975
1994-04-01,77.2522
1994-05-01,76.9180
1994-06-01,80.2136
1994-07-01,78.7807
1994-08-01,78.2240
1994-09-01,78.1475
1994-10-01,78.4079
1994-11-01,77.8692
1994-12-01,77.9424
1995-01-01,78.5434
1995-02-01,79.2427
1995-03-01,79.1749
1995-04-01,79.9034
1995-05-01,81.0913
1995-06-01,80.5445
1995-07-01,81.5473
1995-08-01,84.8013
1995-09-01,81.3018
1995-10-01,81.3992
1995-11-01,82.4392
1995-12-01,83.0918
1996-01-01,83.8755
1996-02-01,84.9759
1996-03-01,84.7572
1996-04-01,84.1980
1996-05-01,85.0916
1996-06-01,83.9650
1996-07-01,81.0758
1996-08-01,82.1146
1996-09-01,81.7650
1996-10-01,82.6026
1996-11-01,84.0758
1996-12-01,83.1135
1997-01-01,83.8392
1997-02-01,82.8665
1997-03-01,81.0418
1997-04-01,82.9114
1997-05-01,81.7598
1997-06-01,81.3617
1997-07-01,83.0849
1997-08-01,82.7088
1997-09-01,83.6476
1997-10-01,85.1437
1997-11-01,85.0576
1997-12-01,84.6877
1998-01-01,81.3169
1998-02-01,82.2469
