DATE,IPB53122S
2013-11-01,68.5210
2013-12-01,69.9214
2014-01-01,72.0494
2014-02-01,74.4714
2014-03-01,76.3420
2014-04-01,78.3148
2014-05-01,80.5911
2014-06-01,81.4943
2014-07-01,81.7066
2014-08-01,81.6045
2014-09-01,81.6705
2014-10-01,81.3380
2014-11-01,80.8763
2014-12-01,80.4885
2015-01-01,80.1460
2015-02-01,79.8947
2015-03-01,79.0498
2015-04-01,78.2304
2015-05-01,77.4848
2015-06-01,77.5758
2015-07-01,76.9705
2015-08-01,77.6430
2015-09-01,78.5875
2015-10-01,79.0708
2015-11-01,79.6270
2015-12-01,81.1996
2016-01-01,81.5855
2016-02-01,82.2749
2016-03-01,82.4512
2016-04-01,83.4259
2016-05-01,84.8679
2016-06-01,86.2845
2016-07-01,88.5339
2016-08-01,89.5994
2016-09-01,90.9337
2016-10-01,92.7708
2016-11-01,93.7669
2016-12-01,94.7384
2017-01-01,95.3470
2017-02-01,96.2351
2017-03-01,97.3633
2017-04-01,99.0642
2017-05-01,99.9156
2017-06-01,100.0556
2017-07-01,99.9444
2017-08-01,100.0363
2017-09-01,101.0241
2017-10-01,102.3839
2017-11-01,104.0549
2017-12-01,104.5756
2018-01-01,104.2232
2018-02-01,104.5816
2018-03-01,105.7351
2018-04-01,107.0600
2018-05-01,106.8875
2018-06-01,107.7468
2018-07-01,108.0958
2018-08-01,108.0943
2018-09-01,106.9845
2018-10-01,104.8188
2018-11-01,102.4141
2018-12-01,100.6949
2019-01-01,100.6212
2019-02-01,101.6941
2019-03-01,101.8640
2019-04-01,102.7024
2019-05-01,103.1384
2019-06-01,104.0096
2019-07-01,105.5924
2019-08-01,106.9672
2019-09-01,106.9957
2019-10-01,107.0257
2019-11-01,108.8770
2019-12-01,111.1580
2020-01-01,110.5515
2020-02-01,108.8976
2020-03-01,109.3279
2020-04-01,106.8112
2020-05-01,106.8730
2020-06-01,109.0272
2020-07-01,111.5130
2020-08-01,111.7589
2020-09-01,113.9348
2020-10-01,117.3378
2020-11-01,118.1193
2020-12-01,118.3077
2021-01-01,121.2750
2021-02-01,122.6002
2021-03-01,123.6932
2021-04-01,124.4498
2021-05-01,126.4952
2021-06-01,126.1243
